,RecordKey,Website.ID,Website.RecordKey,SiteName,Site.section,ViceCounty,established,GridReference,Projection,Precision,lat,long,transect.OS1936.lat,Transect.OS1936.long,transect_length,section_length,section_grid_ref,H1,H2,H3,H4,habitat_description,L1,L2,land_use_description,Recorder,start_time,end_time,sunshine,wind_speed,temperature,TaxonVersionKey,species,latin,queens,workers,males,unknown,Comment,transect_comment,flower_visited,StartDate,EndDate,DateType,Year,Month,Day,Sensitive,Week,TotalCount,Year_Bin,site_count
7727,3033,,,Cliffe Pools,Cliffe Pools - S1,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1398.0,TQ730766,22. Dry scrub/shrub thickets,19. Seasonally wet and wet marshy grasslands,25. Hedgerows,,"Mature Scrub (Hawthorn, Elder, Elm) bordered by rank grass and bramble.",,,,"Larkin, Paul",11:00:00,13:00:00,Sunny/Cloudy,3. Leaves and twigs in slight motion,22.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,,20/08/2011,20/08/2011,D,2011,8,20,False,34,1,2011-2012,26
7734,3040,,,Cliffe Pools,Cliffe Pools - S2,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1621.0,TQ725777,19. Seasonally wet and wet marshy grasslands,22. Dry scrub/shrub thickets,,,Rank grass to path edges beyond which is sheep grazed fresh marsh on one side and heavily grazed shrubby grassland. (This area used to be rank grass and shrub but is now heavily cattle grazed with a much reduced surcud height). 50% of scrub now removed.,,,,"Larkin, Paul",11:00:00,13:00:00,Sunny/Cloudy,3. Leaves and twigs in slight motion,22.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,,20/08/2011,20/08/2011,D,2011,8,20,False,34,1,2011-2012,26
12880,10262,,,Cliffe Pools,Cliffe Pools - S1,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1398.0,TQ730766,22. Dry scrub/shrub thickets,19. Seasonally wet and wet marshy grasslands,25. Hedgerows,,"Mature Scrub (Hawthorn, Elder, Elm) bordered by rank grass and bramble.",,,,Paul & Anthea Larkin,11:40:00,15:15:00,Sunny/Cloudy,Breezy,15.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,2,0,0,,,Lamium album,16/05/2013,16/05/2013,D,2013,5,16,False,20,2,2013-2014,26
12884,10282,,,Cliffe Pools,Cliffe Pools - S2,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1621.0,TQ725777,19. Seasonally wet and wet marshy grasslands,22. Dry scrub/shrub thickets,,,Rank grass to path edges beyond which is sheep grazed fresh marsh on one side and heavily grazed shrubby grassland. (This area used to be rank grass and shrub but is now heavily cattle grazed with a much reduced surcud height). 50% of scrub now removed.,,,,Paul & Anthea Larkin,11:40:00,15:15:00,Sunny/Cloudy,Breezy,15.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,1,0,0,0,,,Lamium album,16/05/2013,16/05/2013,D,2013,5,16,False,20,1,2013-2014,26
13981,10278,,,Cliffe Pools,Cliffe Pools - S1,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1398.0,TQ730766,22. Dry scrub/shrub thickets,19. Seasonally wet and wet marshy grasslands,25. Hedgerows,,"Mature Scrub (Hawthorn, Elder, Elm) bordered by rank grass and bramble.",,,,Paul & Anthea Larkin,11:30:00,14:15:00,Sunny/Cloudy,light,23.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,1,0,0,0,,,,19/06/2013,19/06/2013,D,2013,6,19,False,25,1,2013-2014,26
13985,10293,,,Cliffe Pools,Cliffe Pools - S2,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1621.0,TQ725777,19. Seasonally wet and wet marshy grasslands,22. Dry scrub/shrub thickets,,,Rank grass to path edges beyond which is sheep grazed fresh marsh on one side and heavily grazed shrubby grassland. (This area used to be rank grass and shrub but is now heavily cattle grazed with a much reduced surcud height). 50% of scrub now removed.,,,,Paul & Anthea Larkin,11:30:00,14:15:00,Sunny/Cloudy,light,23.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,2,0,0,0,,,,19/06/2013,19/06/2013,D,2013,6,19,False,25,2,2013-2014,26
13992,10323,,,Cliffe Pools,Cliffe Pools - S4,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1599.0,TQ716768,22. Dry scrub/shrub thickets,25. Hedgerows,21. Stands of tall herbs (e.g. nettle and willow-herb beds),,Mature but often scrub similar to S1 but with rank vegetation and brambles. Intertwined also some larger trees.,,,,Paul & Anthea Larkin,11:30:00,14:15:00,Sunny/Cloudy,light,23.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,1,0,0,0,,,,19/06/2013,19/06/2013,D,2013,6,19,False,25,1,2013-2014,26
14908,12662,,,Lytes Cary,Lytes Cary - S2,North Somerset,2013.0,ST535267,OSGB,100,51.03770447,-2.664609194,51.03723526,-2.663276672,1940.0,,,,,,,,,,,John Butler,13:50:00,15:30:00,Sunny,Breezy,21.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,,29/06/2013,29/06/2013,D,2013,6,29,False,26,1,2013-2014,12
19111,10286,,,Cliffe Pools,Cliffe Pools - S2,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1621.0,TQ725777,19. Seasonally wet and wet marshy grasslands,22. Dry scrub/shrub thickets,,,Rank grass to path edges beyond which is sheep grazed fresh marsh on one side and heavily grazed shrubby grassland. (This area used to be rank grass and shrub but is now heavily cattle grazed with a much reduced surcud height). 50% of scrub now removed.,,,,Paul & Anthea Larkin,11:00:00,14:40:00,Sunny,Light,23.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,2,0,0,,,,20/08/2013,20/08/2013,D,2013,8,20,False,34,2,2013-2014,26
20258,10267,,,Cliffe Pools,Cliffe Pools - S1,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1398.0,TQ730766,22. Dry scrub/shrub thickets,19. Seasonally wet and wet marshy grasslands,25. Hedgerows,,"Mature Scrub (Hawthorn, Elder, Elm) bordered by rank grass and bramble.",,,,Paul & Anthea Larkin,12:45:00,16:25:00,Sunny,Light,21.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,,24/09/2013,24/09/2013,D,2013,9,24,False,39,1,2013-2014,26
20263,10311,,,Cliffe Pools,Cliffe Pools - S4,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1599.0,TQ716768,22. Dry scrub/shrub thickets,25. Hedgerows,21. Stands of tall herbs (e.g. nettle and willow-herb beds),,Mature but often scrub similar to S1 but with rank vegetation and brambles. Intertwined also some larger trees.,,,,Paul & Anthea Larkin,12:45:00,16:25:00,Sunny,Light,21.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,2,0,0,,,,24/09/2013,24/09/2013,D,2013,9,24,False,39,2,2013-2014,26
26183,30357,,,Crossness,Crossness - S9,West Kent,2014.0,TQ489800,OSGB,100,51.49928,0.14379,51.49882126,0.14540717,2644.0,,,,,,,,,,,E Petchey,,,,,,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,0,0,1,,,,13/06/2014,13/06/2014,D,2014,6,13,False,24,1,2013-2014,2
29306,22947,1169153,iBRC1169153,Lytes Cary,Lytes Cary - S2,North Somerset,2013.0,ST535267,OSGB,100,51.03770447,-2.664609194,51.03723526,-2.663276672,1940.0,576.0,ST532267,38. Bare ground/weeds of arable field margins or fallow/recently abandoned arable crops,,,,,L1 - Agriculture,,,"Butler, John",13:15,15:00,Sunny,3. Leaves and twigs in slight motion,27.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,,17/07/2014,17/07/2014,D,2014,7,17,False,29,1,2013-2014,12
29399,22496,1224194,iBRC1224194,"Riverside Country Park, Rainham","Riverside Country Park, Rainham - S1",East Kent,2011.0,TQ817676,OSGB,100,51.37831879,0.609495699,51.37783813,0.611147463,2015.0,532.0,TQ822674,40. Bare ground/weed communities of post-industrial sites e.g. quarries/pits/road/rail/landfill,22. Dry scrub/shrub thickets,"24. Wet Willow scrub of fen, river and lake-side",,,L41 - Unused Land,L6 - Outdoor amenity and open spaces,,"Springate, Simon",11:15,12:35,Sunny/Cloudy,"2. Wind felt on face, leaves rustle",,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,Odontites vernus,20/07/2014,20/07/2014,D,2014,7,20,False,30,1,2013-2014,18
29417,22543,1224147,iBRC1224147,"Riverside Country Park, Rainham","Riverside Country Park, Rainham - S1",East Kent,2011.0,TQ817676,OSGB,100,51.37831879,0.609495699,51.37783813,0.611147463,2015.0,532.0,TQ822674,40. Bare ground/weed communities of post-industrial sites e.g. quarries/pits/road/rail/landfill,22. Dry scrub/shrub thickets,"24. Wet Willow scrub of fen, river and lake-side",,,L41 - Unused Land,L6 - Outdoor amenity and open spaces,,"Springate, Simon",11:15,12:35,Sunny/Cloudy,"2. Wind felt on face, leaves rustle",,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,Odontites vernus,20/07/2014,20/07/2014,D,2014,7,20,False,30,1,2013-2014,18
30919,30389,,,Crossness,Crossness - S1,West Kent,2014.0,TQ489800,OSGB,100,51.49928,0.14379,51.49882126,0.14540717,2644.0,,,,,,,,,,,E Petchey,,,,,,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,0,0,1,,,,05/08/2014,05/08/2014,D,2014,8,5,False,32,1,2013-2014,2
31454,20611,1340803,iBRC1340803,Consmtg 8/14 Gupton (G),Consmtg 8/14 Gupton (G) - S7,Pembrokeshire,2014.0,SR890994,OSGB,100,51.65364456,-5.051774979,51.65325928,-5.050654411,2026.0,524.0,SR891996,25. Hedgerows,,,,Track with flower rich boundaries and gappy/low growing hedge,L1 - Agriculture,,,"Lynch, Sinead",10:45,13:00,Sunny/Cloudy,4. Dust raised and small branches move,16.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,,12/08/2014,12/08/2014,D,2014,8,12,False,33,1,2013-2014,1
31555,20012,1382384,iBRC1382384,Consmtg 8/14 Valero (H),Consmtg 8/14 Valero (H) - S1,Pembrokeshire,2014.0,SM896019,OSGB,100,51.67631531,-5.044616222,51.67593002,-5.043494225,2906.0,571.0,SM898026,17. Dry semi/unimproved (flower rich) neutral grassland,"32. Bare ground/woodland herb/grass mosaics of woodland rides, hedgebanks and green lanes",8. Coastal shingle,,,L1 - Agriculture,L12 - Transport tracks and ways,,"Lynch, Sinead",10:00,11:00,Sunny/Cloudy,,18.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,4,0,0,,,,13/08/2014,13/08/2014,D,2014,8,13,False,33,4,2013-2014,1
32360,20438,1344318,iBRC1344318,Lytes Cary Garden,Lytes Cary Garden - S3,North Somerset,2014.0,ST533265,OSGB,100,51.0358963,-2.6674366,51.03542709,-2.666104317,262.0,36.0,ST533265,39. Ornamental shrubs/trees/lawns of churches/parks/domestic gardens etc,,,,Main border,L6 - Outdoor amenity and open spaces,,,"waterhouse, sue",13:40,14:55,Sunny/Cloudy,4. Dust raised and small branches move,17.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,0,1,0,,,penstemon,19/08/2014,19/08/2014,D,2014,8,19,False,34,1,2013-2014,3
32366,20434,1344322,iBRC1344322,Lytes Cary Garden,Lytes Cary Garden - S5,North Somerset,2014.0,ST533265,OSGB,100,51.0358963,-2.6674366,51.03542709,-2.666104317,262.0,44.0,ST533264,39. Ornamental shrubs/trees/lawns of churches/parks/domestic gardens etc,,,,Lavender garden,L6 - Outdoor amenity and open spaces,,,"waterhouse, sue",13:40,14:55,Sunny/Cloudy,4. Dust raised and small branches move,17.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,0,4,0,,,lavender,19/08/2014,19/08/2014,D,2014,8,19,False,34,4,2013-2014,3
33339,19857,1401719,iBRC1401719,Lytes Cary,Lytes Cary - S2,North Somerset,2013.0,ST535267,OSGB,100,51.03770447,-2.664609194,51.03723526,-2.663276672,1940.0,576.0,ST532267,38. Bare ground/weeds of arable field margins or fallow/recently abandoned arable crops,,,,,L1 - Agriculture,,,"Butler, John",13:50,14:50,Sunny/Cloudy,3. Leaves and twigs in slight motion,22.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,,10/09/2014,10/09/2014,D,2014,9,10,False,37,1,2013-2014,12
33781,19252,1449434,iBRC1449434,Lytes Cary Garden,Lytes Cary Garden - S7,North Somerset,2014.0,ST533265,OSGB,100,51.0358963,-2.6674366,51.03542709,-2.666104317,262.0,29.0,ST532265,39. Ornamental shrubs/trees/lawns of churches/parks/domestic gardens etc,,,,Cutting garden,L6 - Outdoor amenity and open spaces,,,"waterhouse, sue",13:50,15:00,Sunny/Cloudy,"2. Wind felt on face, leaves rustle",18.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,0,1,0,,,"salvia ""hotlips""",23/09/2014,23/09/2014,D,2014,9,23,False,39,1,2013-2014,3
35861,41809,1919015,iBRC1919015,Cliffe Pools,Cliffe Pools - S1,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1398.0,TQ730766,22. Dry scrub/shrub thickets,19. Seasonally wet and wet marshy grasslands,25. Hedgerows,,"Mature Scrub (Hawthorn, Elder, Elm) bordered by rank grass and bramble.",,,,"Larkin, Paul",12:30,15:00,Sunny,6. Large branches move and trees sway,18.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,2,0,0,0,,,,12/05/2015,12/05/2015,D,2015,5,12,False,20,2,2015-2016,26
42195,37267,2229851,iBRC2229851,Lytes Cary Garden 2015,Lytes Cary Garden 2015 - S5,North Somerset,2014.0,ST533265,OSGB,100,51.0358963,-2.6674366,51.03542709,-2.666104317,388.0,45.0,ST533264,39. Ornamental shrubs/trees/lawns of churches/parks/domestic gardens etc,,,,Lavender garden,L6 - Outdoor amenity and open spaces,,,"waterhouse, sue",13:40,15:15,Sunny/Cloudy,4. Dust raised and small branches move,22.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,,14/07/2015,14/07/2015,D,2015,7,14,False,29,1,2015-2016,8
42430,38442,2164463,iBRC2164463,Lytes Cary Meadows,Lytes Cary Meadows - S5,North Somerset,2015.0,ST532259,OSGB,100,51.03049469,-2.66878891,51.03002548,-2.667457104,2319.0,690.0,ST531259,17. Dry semi/unimproved (flower rich) neutral grassland,,,,Field sown in 2014 with a wildflower/grass mix.,L1 - Agriculture,,Field will probably be grazed by sheep and cattle from late summer through to late autumn.,"Butler, John",14:30,16:20,Cloudy,3. Leaves and twigs in slight motion,20.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,4,0,0,,,,15/07/2015,15/07/2015,D,2015,7,15,False,29,4,2015-2016,9
42439,38432,2164473,iBRC2164473,Lytes Cary Meadows,Lytes Cary Meadows - S7,North Somerset,2015.0,ST532259,OSGB,100,51.03049469,-2.66878891,51.03002548,-2.667457104,2319.0,329.0,ST533261,38. Bare ground/weeds of arable field margins or fallow/recently abandoned arable crops,25. Hedgerows,,,Field margin of arable field.,L1 - Agriculture,,See above.,"Butler, John",14:30,16:20,Cloudy,3. Leaves and twigs in slight motion,20.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,3,0,0,,,,15/07/2015,15/07/2015,D,2015,7,15,False,29,3,2015-2016,9
46307,36106,2338589,iBRC2338589,Lytes Cary Garden 2015,Lytes Cary Garden 2015 - S5,North Somerset,2014.0,ST533265,OSGB,100,51.0358963,-2.6674366,51.03542709,-2.666104317,388.0,45.0,ST533264,39. Ornamental shrubs/trees/lawns of churches/parks/domestic gardens etc,,,,Lavender garden,L6 - Outdoor amenity and open spaces,,,"waterhouse, sue",13:50,15:20,Cloudy,1. Slight smoke drift,16.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,,11/08/2015,11/08/2015,D,2015,8,11,False,33,1,2015-2016,8
46315,36105,2338590,iBRC2338590,Lytes Cary Garden 2015,Lytes Cary Garden 2015 - S8,North Somerset,2014.0,ST533265,OSGB,100,51.0358963,-2.6674366,51.03542709,-2.666104317,388.0,49.0,ST532265,39. Ornamental shrubs/trees/lawns of churches/parks/domestic gardens etc,,,,Cutting garden,L6 - Outdoor amenity and open spaces,,,"waterhouse, sue",13:50,15:20,Cloudy,1. Slight smoke drift,16.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,,11/08/2015,11/08/2015,D,2015,8,11,False,33,1,2015-2016,8
46371,36358,2326387,iBRC2326387,Lytes Cary,Lytes Cary - S2,North Somerset,2013.0,ST535267,OSGB,100,51.03770447,-2.664609194,51.03723526,-2.663276672,1940.0,576.0,ST532267,38. Bare ground/weeds of arable field margins or fallow/recently abandoned arable crops,,,,,L1 - Agriculture,,,"Butler, John",14:00,15:00,Sunny/Cloudy,3. Leaves and twigs in slight motion,20.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,7,0,0,,,,12/08/2015,12/08/2015,D,2015,8,12,False,33,7,2015-2016,12
46414,36345,2326584,iBRC2326584,Lytes Cary Meadows,Lytes Cary Meadows - S1,North Somerset,2015.0,ST532259,OSGB,100,51.03049469,-2.66878891,51.03002548,-2.667457104,2319.0,338.0,ST537263,38. Bare ground/weeds of arable field margins or fallow/recently abandoned arable crops,25. Hedgerows,,,"Margin of arable field abutted by hedge (mainly blackthorn), margin partly mown on a regular basis as forms part of estate walk.",L1 - Agriculture,L6 - Outdoor amenity and open spaces,See above.,"Butler, John",15:05,16:10,Sunny/Cloudy,4. Dust raised and small branches move,19.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,2,0,0,,,,12/08/2015,12/08/2015,D,2015,8,12,False,33,2,2015-2016,9
46430,36335,2326594,iBRC2326594,Lytes Cary Meadows,Lytes Cary Meadows - S5,North Somerset,2015.0,ST532259,OSGB,100,51.03049469,-2.66878891,51.03002548,-2.667457104,2319.0,690.0,ST531259,17. Dry semi/unimproved (flower rich) neutral grassland,,,,Field sown in 2014 with a wildflower/grass mix.,L1 - Agriculture,,Field will probably be grazed by sheep and cattle from late summer through to late autumn.,"Butler, John",15:05,16:10,Sunny/Cloudy,4. Dust raised and small branches move,19.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,0,0,,,,12/08/2015,12/08/2015,D,2015,8,12,False,33,1,2015-2016,9
46559,34948,2413491,iBRC2413491,"Riverside Country Park, Rainham","Riverside Country Park, Rainham - S4",East Kent,2011.0,TQ817676,OSGB,100,51.37831879,0.609495699,51.37783813,0.611147463,2015.0,705.0,TQ815678,22. Dry scrub/shrub thickets,15. Dry semi/unimproved (flower rich) chalk/limestone grassland,25. Hedgerows,,,L6 - Outdoor amenity and open spaces,,,"Springate, Simon",11:00,12:30,Sunny/Cloudy,4. Dust raised and small branches move,,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,0,3,0,,,,15/08/2015,15/08/2015,D,2015,8,15,False,33,3,2015-2016,18
47038,35504,2359952,iBRC2359952,Cliffe Pools,Cliffe Pools - S2,West Kent,2009.0,TQ720770,OSGB,100,51.46577835,0.474812508,51.46530914,0.47644034,5941.0,1621.0,TQ725777,19. Seasonally wet and wet marshy grasslands,22. Dry scrub/shrub thickets,,,Rank grass to path edges beyond which is sheep grazed fresh marsh on one side and heavily grazed shrubby grassland. (This area used to be rank grass and shrub but is now heavily cattle grazed with a much reduced surcud height). 50% of scrub now removed.,,,,"Larkin, Paul",13:00,16:30,Sunny,"2. Wind felt on face, leaves rustle",20.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,3,0,0,,,,17/08/2015,17/08/2015,D,2015,8,17,False,34,3,2015-2016,26
48236,34853,2422369,iBRC2422369,Lytes Cary,Lytes Cary - S2,North Somerset,2013.0,ST535267,OSGB,100,51.03770447,-2.664609194,51.03723526,-2.663276672,1940.0,576.0,ST532267,38. Bare ground/weeds of arable field margins or fallow/recently abandoned arable crops,,,,,L1 - Agriculture,,,"Butler, John",13:10,14:20,Sunny,4. Dust raised and small branches move,18.0,NHMSYS0000875593,Shrill Carder,Bombus sylvarum,0,1,3,0,,,,02/09/2015,02/09/2015,D,2015,9,2,False,36,4,2015-2016,12
